宝塔,浮图
萧规曹随,率由旧章
名贵,宝贵
归天,弃世
到场,参加
痛饮,浩饮
恭维,捧场
长枪,蛇矛
力不从心,力有未逮
吃法,服法
一尘不染,一乾二净
扩张,扩大
萧墙之祸,家庭祸变
未几,不多
美妙,美好
昏迷,昏厥
儒教,孔教
浑浑噩噩,胡里胡涂
内争,内
背工,后手
大亨,富翁
宽裕,裕如
毫不勉强,心甘情愿
树立,建立
跬步不离,如影随形
脸颊,面颊
积储,储蓄储存
隐语,切口
娶妻,授室
壅闭,阻塞
活跃,活泼
观察,窥察
草野,草泽
浑水摸鱼,混水摸鱼
娘舅,舅舅
暖锅,火锅
羡慕,恋慕
责怪,责备
繁殖,滋生
颠三倒四,倒横直竖
舒展,伸展
穷苦相,穷相
凋零,枯萎死亡
开心,高兴
不宁耐,不宁不耐
延长,延伸
安谧,静谧
豁达,宽大旷达
计划精巧,算无遗策
究竟,毕竟
背景,靠山
鼎足之势,三足鼎立
委曲求全,含垢忍辱
幻境,幻景
大胆,斗胆
斜阳,夕阳
呐呐,期艾
服从,从命
今后,从此
书箱,书箧
刹那,霎时
片面之言,片面之词
傲睨一世,昂首望天
伫候,鹄候
妥当,稳当
散布,漫衍
泅水,拍浮
汗出如浆,汗流浃背
低头,垂头
陵犯,侵占
丢脸,难看
天经地义,不移至理
蛇矛,长枪
因噎废食,剖腹藏珠
坟场,墓地
刚强,坚定
恰到好处,适可而止
探询,探听
祖籍,本籍
多此一举,画蛇添足
兵器,刀兵
事变,事项
看重,注重
扑面,劈面
激昂,激动慷慨
沉迷,陷溺
通则,公则
龙蛇混杂,良莠淆杂
摇摆,扭捏
条理,层次
虚假,虚伪
做生意,经商
不识一丁,不识之无
百发百中,矢无虚发
帆柱,帆樯
休业,停业
叛逆,背叛
揣摩,琢磨
白云苍狗,沧海桑田
辽阔,广阔
吝啬,小气
观察,观测
忍不住,不由得
自负,自大
眇小,渺小
庖丁,火头
明白,清楚
煤油,火油
宽大,广大
办事,处事
缠绵,缱绻
楚切,悲凄
曲谱,乐谱
素质,本质
王侯将相,达官贵人
夏季,夏日
凋零,零落凋落
麻痹,麻木
台端,大驾
跋扈,嚣张
门路,道路
交往,来往
面子,体面
装扮,打扮
利钱,利息
补充,弥补
缝隙,裂缝
兔脱,逃窜
抚慰,安抚
月老祠,撮合山
不知恩义,过河拆桥
偏爱,偏心
粗言,鄙言
观察,调查
奢华,豪华
辩论,冲突
美丽,奇丽
不足为凭,不足为据
胡混,厮混
不准,禁绝
扬名,立名
书橱,书柜
报告,陈述
倘若,借使倘使
辞职归里,告老还乡
和睦,友善
痛快,愉快
百折不挠,绝不屈服
淡漠,冷淡
离开,脱离
不可一世,咄咄逼人
谦逊,礼让
顺利,顺遂
奈何,何如
市道市情,市面
奈何,若何怎样
地点,地址
包藏祸心,心怀叵测
外强中干,外强内弱
哨子,叫子
华美,华丽
他乡,异域
节省,节俭
撩蜂剔蝎,撩蜂拨刺
正派,正直
重色轻友,见色忘友
紧张,重要
崩溃,溃逃
分析,剖析
添补,填充
目标,目的
难道,岂非
亮相,表态
苍白,惨白
荒诞,荒唐
确切,确实
飞行,飞翔
过分,过度
适时,合时
见利忘义,财迷心窍
关键,枢纽
收缩,压缩
硬朗,结实
耕作,耕种
匆匆,仓促
几多,多少
辅导,指点
告状,起诉
个人,小我
得寸进尺,软土深掘
遍及,普及
潜伏,埋伏
抱恨,赍恨
急忙忙,急巴巴
出力异常,特别卖力
灵巧,灵活
好事,功德
讽刺,讥笑
词句,文句
不可一世,盛气凌人
推辞,推脱
跋前踬后,动辄得咎
柔顺,和婉
刑场,法场
包含,包括
不乏其人,不胜枚举
坚忍,坚贞
资格,资历
寝室,卧室
谨严,谨慎
豁拳,猜拳
制品,成品
包围,困绕
修饰,润色
功能,功效
完美无缺,十全十美
智慧,聪明
维持,保持
茶青,墨绿
分析,阐明
极峰,山顶颠峰
口若悬河,滔滔不绝
沁人心脾,动人肺腑
去世,死
八面见光,八面玲珑
负担,承当
黔驴技穷,黔驴之技
率土归心,天下归心
不当准,不作数
杰出,卓越
调查,查询拜访
淹没,沉没
宁愿,情愿
狂暴,狞恶
公判,公审
风扇,电扇
伶仃,孤立
难分轩轾,不分高下
富可敌国,金玉满堂
霎时,刹那
不郎不秀,不稂不莠
突然,俄然
煮饭,烧饭
狐假虎威,恃势凌人
赝品,假货
神经病,精神病
学堂,私塾
鲁莽,莽撞
故旧,素交
撤退,退却
高视睨步,气宇轩昂
荡气回肠,勾魂摄魄
唇亡齿寒,巢毁卵破
受骗,上当
缔盟,订盟
适口,可口
观光,旅行
讽刺,讥刺
急切,迫切
途径,门路
转身,回身
火葬,火化
受骗,被骗
那边,何处
抵御,抵抗
旧调重弹,老生常谈
甘愿,情愿
开端,开始
兵士,战士
断定,判断
基础,根蒂根基
浮名,谰言
难堪,尴尬
奋勇当先,奋勇争先
捉住,抓住
客厅,客堂
切齿痛恨,切齿腐心
丰富,富厚
察访,查访
笔走龙蛇,鸾翔凤翥
滚蛋,滚开
忠肝义胆,赤血丹心
不法,犯警
素志,素愿
半途而废,功亏一篑
妙算,奇谋
勾消,抹煞
废物,废料
敦睦,亲善
全力以赴,尽心尽力
派别,流派
分家,分爨
偏激,过火
战云浓密,鼙鼓雷鸣
安分守己,规行矩步
耕作,耕耘
公断,公评
暴乱,暴动
转动,迁移转变
恳求,乞请
讲错,失言
惊愕,惊诧
腻烦,讨厌
辅导,教导
明亮,敞亮
仓促,急急
叱责,责备
拦阻,阻碍
雄心壮志,雄心勃勃
本身,自己
迷迷糊糊,模模糊糊
浪迹江湖,到处为家
父执,世伯
颤抖,发抖
言传身教,上行下效
茅舍,茅屋
重版,再版
守口如瓶,缄舌闭口
名誉,声誉
高雅,雅致
逗留,勾留
断港绝潢,穷途末路
奸刁,奸狡
进退失据,跋前疐后
不敷,不够
汹涌,澎湃
曲说,偏言
帮助,扶助
马上,顿时
宦官,太监
不对,谬误
碌碌无为,无所作为
抚玩,赏玩
奉送,赠给
相同,沟通
用度,费用
盛大,昌大
久旱,亢旱
悔悟,悔过
香,喷鼻
过火,偏激
抗命,方命
行动,步履
昏暗,暗淡
歧路,岔路支路
愤懑,怫郁
秘戏图,春宫
五彩缤纷,花团锦簇
赌博,赌钱
开口,启齿
构怨,成仇
脆而不坚,华而不实
经过,颠末
肝火,怒火
羽书,军书
暴徒,坏人
荡舟,划船
漂泊,漂浮
挂念,顾虑
平心静气,心平气和
复习,温习
金科玉律,清规戒律
细小,藐小
倡导,提倡
奋发蹈厉,奋发自强
间隔,距离
进退维谷,骑虎难下
纵脱,放荡
乘虚而入,浑水摸鱼
迫不得已,必不得已
批评,批驳
全部,全数
愤怒,恼怒
神态,神志
结构,布局
中途,半途
心乱如麻,心烦意乱
装作,假装
构思,构想
寥寥无几,寥寥可数
喜好,爱好
百依百顺,视为心腹
攀谈,扳话
一言为定,说一是一
铸造,锻造
炎火,烈焰
画图,绘图
技能,技术
声名狼藉,臭名远扬
停止,终止
沼泽,池沼
聚会会议,集会
仰面,抬头
急忙,仓卒
乞援,讨援
热爱,酷爱
马虎,草率
亲朋,亲友
歧途,邪路
不值一提,何足道哉
讽刺,嗤笑
停息,停歇
兵马,戎马
劳碌,忙碌
芽菜,豆芽
全靠,端赖
业务,营业
安眠,安息
改进,改良
开怀,畅怀
火把,火炬
漂泊,流浪
讲究,讲求
变乱,事变
诚笃,诚实
兴盛,昌隆
说三道四,说长道短
晃悠,晃荡
婢女,梅香
老虎,山君
自私自利,利欲熏心
贪嘴,馋嘴
亲密,密切
企图,贪图
蜃楼海市,空中楼阁
温和,温文
安然无恙,平安无事
降低,下降
请援,讨救
谦善,谦虚
挑唆,调拨
答理,理睬
感染,沾染
布鼓雷门,班门弄斧
符合,契合
权威,权势巨子
发生,产生
敏捷,急迅
貌寝,寝陋
驯服,征服
记着,记取
相生相克,恶马恶人骑
得心应手,驾轻就熟
别号,别名
漂泊,漂流
担当,担任
半子,女婿
称身,合身
评论辩论,谈论
制作,建造
断交,决绝
度量,怀抱
置之不理,束之高阁
一尘不染,明哲保身
被骗,上当
沉溺堕落,沦落
愁眉苦脸,愁眉锁眼
焚膏继晷,通宵达旦
缔盟,结盟
摒挡,拾掇
底子,基础底细
自发,自觉
汇合,会合
存心,居心
宁死不屈,宁当玉碎
定命,天命
姿势,姿态
持疑不定,持疑不决
寓目,观看
开辟,开发
令坦,令婿
朋友,伴侣
停止,停滞
趁便,顺便
田舍,农家
人杰地灵,地灵人杰
受惊,吃惊
方寸已乱,心慌意乱
战功,军功
翻译员,传译员
晨光,晨曦
内耗,内讧
技痒,摩拳擦掌
刺耳,逆耳
求全谴责,责难
艰巨,艰难
边疆,边境
直爽,直率
夺取,篡夺
谈判,会谈
奉养,服侍
看风使舵,趁风扬帆
管工,督工
罪责,罪恶
尖锐,尖利
天主,上帝
气魄,派头
新奇,别致
狡猾,奸刁
生机,发火
立德,树德
目光如电,目光如炬
髯毛,胡须
披荆斩棘,披荆棘
犀利,锋利
反水不收,泼水难收
诽语,谗言
暗害,暗杀
门庭若市,华盖云集
心田,心坎
克日,刻期
起伏,升沉
情绪,情感
反客为主,反宾为主
不对,过错
披星带月,餐风宿露
尸体,尸身
悲悼,哀伤
引港,领港
畏罪,惧罪
当心,小心
拐弯抹角,旁敲侧击
感冒,伤风
百尺竿头,扶摇直上
办事,服务
大张旗鼓,死灰复燃
贫苦,穷苦
浮薄,佻达
遍体鳞伤,体无完肤
大作,高文
鼎足之势,三分鼎足
悲欢离合,离合悲欢
恒河沙数,数以万计
刎颈交,生死之交
彷徨歧途,徘徊歧路
命脉,命根子
第宅,公馆
矫揉造作,虚张声势
字画,书画
千了百当,百了千当
警觉,警醒
都门,京师
子音,辅音
申饬,告诫
灯红酒绿,醉生梦死
蛮横,横暴
玷污,玷辱
武断,果断
声东击西,出奇制胜
抵押,典质
本性,天性
种花,莳花
法子,方法
山川,山水
精神抖擞,精力充沛
丰度,品貌
简便,简洁
赛跑,竞走
空房,空屋
吸血虫,剥削者
自作自受,作法自毙
客岁,去年
不断,接续
远而避之,退避三舍
模范,榜样
如此,如斯
戈壁,沙漠
溘然长逝,撒手尘寰
盛情,盛意
俊逸,飘逸
奕棋,对奕
面目面貌,面容
富裕,充裕
驱赶,驱逐
妒忌,吃醋
欢乐,欢快
羽士,道士
迁徙,迁移
拖拉,拖沓
排挤,架空
伴同,伴随
蛮话,刁话
透彻,透辟
暴戾恣睢,穷凶极恶
干脆爽快,快人快事
鞭挞,扑打
奉养,侍奉
精致,精细
心境,心情
可信,可托
处罚,惩罚
辞职,告退
渺小,眇小
守旧,保守
推选,推举
派遣,吩咐消磨
困惑,猜疑
旦夕,夙夜迟早
仳离,离异
压抑,压制
牢牢,紧紧
牢记,切记
菲酌,薄酌
阔气,豪阔
发抖,颤栗
慌脚鸡,毛姜
豕突狼奔,东逃西窜
挥舞,挥动
创造,发明
商量,磋议
侮慢,轻渎
计划,筹划
商量,商酌
诱饵,钓饵
流氓,地痞
天气,气候
仆欧,跑堂
通则,公例
温暖,暖和
吝啬,悭吝
闾里,闾阎
气吞山河,声势浩大
何干,何关
债主,借主
一掷千金,挥金如土
军队,戎行
比较,对照
甜言,蜜语
兰梦,梦熊
枉驾,屈驾
散发,披发
生吞活剥,不求甚解
独特,奇特
创建,建立
约束,束缚
廉明,廉洁
奔走,奔忙
劈面,迎面
阿谀,恭维
尖兵,斥候
整顿,整理
岌岌可危,千钧一发
侦察,伺探
大雨如注,大雨滂沱
讲和,媾和
不共戴天,令人切齿
庞大,复杂
平心而谈,持平立论
拥护,拥戴
倾盖论交,倾盖定交
假仁假义,假装好人
口气,口吻
调派,派遣
戴德,感恩
渺茫,迷茫
身材,身段
风气,风尚
到处,各处
合浦珠还,失而复得
耿介,廉洁
邻近,临近
透露,泄漏
绘声绘影,历历如绘
启齿,开口
格外,非分特别
烈火,猛火
和事老,鲁仲连
探听,打听
雕零,雕落
调和,和谐
罗掘俱穷,吃尽当光
众说纷纭,众口纷纭
陷害,谗谄
没收,充公
而后,尔后
许可,允许
高人一等,头角峥嵘
品格,风致
倘使,假如
决议计划,决策
撤职,免职
保护,珍爱
过头,过甚
蓦地,骤然
黔首,黔黎
妄语,妄言
花费,破费
康庄大道,平坦大路
坚定,果断
趴下,爬下
基本,根基
愉快,兴奋
天姿国色,国色天香
脂粉气,女儿态
严峻,严重
严重,严峻
罪大恶极,罪不容诛
以牙还牙,以眼还眼
太过,过分
沉醉,沉浸
联系关系,关联
大言,狂言
电话,德律风
周到,殷勤
凛凛,凛冽
探问,探听
窥伺,窥探
动人肺腑,感人心曲
羸弱,孱羸
了不起,了不得
盘算,谋略
滚存,结存
缉捕,访拿
来源,滥觞
尊师重道,程门立雪
蝉联,连任
反复,频频
以手加额,额手称庆
抱病,扶病
攀亲,结亲
隐约,模糊
心情,表情
夏天,炎天
重义轻财,疏财仗义
盼望,企望
断气,气绝
贫苦,贫困
赌咒,矢语
流传,撒播
回答,回覆
陵犯,侵害
喜欢,喜好
到处,随处
珍重,珍爱
必要,需要
旁征博引,引经据典
花旦,旦角
质朴,朴素
啼哭,哭泣
天造地设,神工鬼斧
哆嗦,惊怖
严阵以待,盛食厉兵
难过,难熬
人去楼空,室迩人遐
那处,那里那边
吵杂,烦吵
孤僻,孤介
凛冽,凛凛
免职,褫职
孝敬,贡献
人定胜天,谋事在人
玉石同烬,兰艾俱焚
自若,自如
贫乏,窘蹙
留意,属意
讨厌,厌烦
绚丽,壮丽
伪装,假装
同盟,联盟
局势,时势
长处,利益
尖锐,锋利
修正,修改
技术,手艺
喜报,捷报
攀龙趋凤,阿谀奉迎
昔日,旧日
屡见不鲜,家常便饭
撤消,裁撤
见示,见教
语言,说话
到场,参与
卖文为活,笔耕墨耘
忘记,健忘
鸦雀无声,阒寂无声
窜犯,窜扰
天公疼核,傻人有傻福
恭顺,恭敬
检查,检讨
蜕化,堕落
南方,南边
胆小如鼠,小心谨慎
忽然,突然
早晚,迟早
制止,避免
如失父母,如丧考妣
庞杂,纷乱
灵活,天真
勘察,勘测
裂缝,裂痕
酸心,痛心
不免,难免
停顿,平息
一无所获,一无所得
盘费,路费
抵挡,招架
尊严,庄严
跌荡,跌宕放诞
盘缠,盘费
提升,晋升
明见万里,明鉴万里
迷恋,陶醉
明镜高悬,秦镜高悬
启蒙,发蒙
微小,渺小
脑壳,脑袋
外洋,国外
昭示,明示
本日,今日
小序,弁言
到处奔跑,东奔西走
远足,郊游
恩惠,恩德
领会,体会
沉静,沉寂
子弹,枪弹
小名,奶名
巡查,放哨
爽利,利落
形状,外形
稼穑,农事
昏迷不醒,不省人事
职能,本能机能
客堂,客厅
无一生还,全军尽没
黑黝黝,黑沉沉
照功行赏,论功行赏
共识,共鸣
解释,注释
安息,安眠
发挥,施展
力弱,力衰
废止,废除
迫不及待,急如星火
深刻,深入
市井,贩子
薄弱,亏弱
舒畅,愉快
头脑,思想
疑惑,迷惑
角楼,谯楼
册封,封爵
望眼将穿,望穿秋水
免除,免去
反老回童,回复青春
独木难支,孤掌难鸣
淳朴,浑厚
老将,宿将
辨认,识别
怜悯,同情
罪行,罪过
四通八达,七通八达
除夕,大年节
意气相合,气味相投
陈诉,报告
智囊,军师
大氅,斗篷
任命,录用
荒漠,荒野
全心全意,诚心诚意
知趣,识相
消逝,磨灭
恭维,奉承
反叛,叛逆
控制,节制
本性,赋性
先生,师长教师
布衣,平民
碌碌无为,凑数其间
放工,下班
见地,见识
告急,垂危
宣扬,鼓动宣传
批红判白,偷天换日
冷僻,生僻
调和,折衷
混淆,混杂
实行,执行
花招,把戏
战略,计谋
荡漾,涟漪
谢绝,回绝
八面见光,面面俱圆
源源不绝,绵绵不断
痴钝,迟钝
公然,公开
同意,赞成
赛舟,竞渡
悲凄,楚切
大量,大批
排解,排遣
促膝谈心,把臂而谈
勾画,勾勒
瞄准,对准
不易之论,不刊之论
偃旗息鼓,消声匿迹
不可思议,难以想象
创立,创建
烛炬,蜡烛
答应,批准
遏恶扬善,隐恶扬善
巨大,伟大
弦外之音,意在言外
心醉情移,色授魂与
扎脚,裹足
联婚,缔姻
掠夺,打劫
聚蚊成雷,积羽沉舟
隽拔,俊拔
匹俦,夫妇
怨言,牢骚
冷气,寒气
失,掉
改善,完善
展开,睁开
精炼,精粹
彻里彻外,彻头彻尾
瑶池,仙境
照射,照耀
生齿,人丁
表现,体现
布匹,布疋
树模,示范
表现,显示
笔耕墨耘,卖文为活
欠据,借据
困难,艰苦
旋里,回乡
校阅,检阅校对
借据,借券
主笔,编缉
浅显,浅近
补缀,修理
纯洁,纯正
搁置,弃捐
通书,黄历
相安无事,息事宁人
关键,环节
不过,不外
考成,考绩
一矢之地,弹丸之地
劈头盖脸,没头没脑
通报,传递
要领,方法
混淆黑白,混淆视听
歃血为盟,沥血以誓
鼻祖,开山祖师
不对,舛误
合家,百口
结合,联合
浓妆艳抹,浓装艳裹
通宵,彻夜
盗贼四起,萑苻不靖
正直,正派
说书,评话
甘愿宁可,甘心
查察,检察
一统天下,金瓯无缺
磷火,鬼火
咆哮,怒吼
民气,民心
抖擞精神,磨砺以须
应当,该当
至好,兰交
凑数,充数
融会,融合
抄本,手本
决定,决议
延误,耽搁
老僧,老衲
鲜明,光鲜
半夜,子夜
非命,横死
鬼哭神号,天愁地惨
巨头,巨子
外地,外埠
有缺,出缺
喜讯,喜信
不中听,不入耳
称呼,称号
建立,树立
豪迈,豁达
攀附,攀援
夸耀,炫耀
通告,布告
度日,过活
盛行,流行
前锋,先锋
平滑,滑润
蜕变,演变
沉默,缄默
利欲熏心,自私自利
记取,记着
沏茶,泡茶
干瘪,困苦
魂飞魄散,六神无主
琢磨,揣摩
失贼,失窃
蓬莱仙境,洞天福地
势如破竹,所向无敌
发轫,发端
豪迈,宏放
收罗,采集
共同,配合
音调,腔调
揭发,讦发
重要,主要
功成身退,知难而退
利益均沾,独享权益
办法,设施
劫运,劫数
寄人篱下,俯仰由人
邦交,国交
泾渭不分,牝牡骊黄
那边,哪里
头等,甲等
反复无常,朝四暮三
本子,簿本
年底,岁尾
本籍,原籍
乡人,村夫
兴致索然,兴味索然
危害,风险
通盘,全盘
大宗,大批
类似,近似
分外,特别
女中丈夫,巾帼英雄
会晤,接见会面
中庸之道,不偏不倚
鲜味,美味
缠累,牵累
流亡,亡命
青翠,青葱
流言,谣言
海阪,海隅
默坐,静坐
闹饥荒,打饥荒
泪流满面,泣不成声
广漠,宽敞豁达
从容自在,从容自若
冰清玉洁,不染纤尘
腼腆,忸怩
隔岸观火,冷眼旁观
延伸,延长
抨击,反攻
携手,联袂
投笔从戎,弃文就武
进犯,抨击打击
预测,猜测
纯粹,纯洁
宓羲,庖羲
喧华,吵闹
落魄,崎岖潦倒
渣滓,残余
倒霉,不利
锅炉,锅
遗弃,抛弃
开辟,拓荒
泰西,西洋
自新,改过
款项,款子
发回,发还
区区,戋戋
讨好,谄谀
夸奖,嘉勉
铺保,店保
祖国,故国
捣乱,拆台
绚丽,烂漫
落后,掉队
歉仄,抱歉
根本,基本
人为,工钱
刻意,决心
晚景,老景
拊膺切齿,怒气冲天
窥探,窥测
家境,家道
朴实,朴素
俗气,庸俗
伏法,伏诛
精神病,神经病
长吁短叹,对天长叹
朴直,耿介
观赏,欣赏
捣乱,扰乱
明白,清楚明明
结婚,成亲
标记,标志
铁石心肠,木人石心
感导,陶染
连结,贯穿连接
方丈,住持
暖和,温煦
阴森,阴沉
序次,次第
正事主,本事儿
题目,问题
欣赏,观赏
急迫,迫切
警惕,小心
欠亨,不通
坦直,直爽
雄壮,雄浑
着花,开花
鸟语花香,桃红柳绿
不可,不成
方巾气,道学味
鼎新,更始
文移,公牍
引人入胜,令人着迷
凶险,阴险
富商,巨贾
抚躬自问,扪心自问
腐朽,腐败
一得之愚,一孔之见
处置,措置
机谋,霸术
遵守习惯,奉行故事
有所顾忌,投鼠忌器
失信,失期
烟消火灭,风流云散
支路,歧路
凶险,凶恶
愤恨,仇恨
灼烁,光明
奋勇争先,奋勇当先
动手,下手
半斤八两,势均力敌
速率,速度
动身,启航
鸾翔凤翥,龙飞凤舞
刀头舔血,刀口上舔血
旅店,旅馆
惩罚,赏罚
注意,注重
巨子,巨擘
尽情宣露,和盘托出
劝戒,规劝
选录,节录
西席,教师
生擒,活捉
寂静,悄悄
皮开肉绽,鳞伤遍体
出奇制胜,声东击西
羁系,监禁
手足同心,同气连枝
生机,朝气
落第,落选
改变,转变
高眼,法眼
冶艳,浓艳
管束,管制
行将就木,风烛残年
遗言,遗嘱
贱躯,粗躯
跟从,随从跟随
口吻,口气
笼络,结纳
眼去眉来,眉目传情
